Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024(In lakhs)"
903,SANGAMIND,Sangam (India) Limited,"222,542.01"
904,BEPL,Bhansali Engineering Polymers Limited,"222,355.03"
905,CAPACITE,Capacit'e Infraprojects Limited,"221,535.69"
906,NPST,Network People Services Technologies Limited,"220,738.69"
907,SUVEN,Suven Life Sciences Limited,"218,073.72"
908,MANINDS,Man Industries (India) Limited,"218,023.83"
909,DIAMONDYD,Prataap Snacks Limited,"217,761.45"
910,CENTUM,Centum Electronics Limited,"217,009.01"
911,VENKEYS,Venky's (India) Limited,"216,839.30"
912,IKIO,IKIO Lighting Limited,"216,617.80"
913,TCNSBRANDS,TCNS Clothing Co  Limited,"216,426.73"
914,OPTIEMUS,Optiemus Infracom Limited,"215,887.91"
915,MOREPENLAB,Morepen Laboratories Limited,"214,946.44"
916,MUKANDLTD,Mukand Limited,"214,937.15"
917,UDS,Updater Services Limited,"214,469.09"
918,ALEMBICLTD,Alembic Limited,"214,284.44"
919,RAMASTEEL,Rama Steel Tubes Limited,"213,129.72"
920,IOLCP,IOL Chemicals and Pharmaceuticals Limited,"212,191.04"
921,MBAPL,Madhya Bharat Agro Products Limited,"211,399.99"
922,MMFL,MM Forgings Limited,"211,135.44"
923,VAKRANGEE,Vakrangee Limited,"210,313.39"
924,TARSONS,Tarsons Products Limited,"209,419.92"
925,ASTEC,Astec LifeSciences Limited,"209,318.47"
926,JSLL,Jeena Sikho Lifecare Limited,"209,235.42"
927,VISHNU,Vishnu Chemicals Limited,"209,162.81"
928,TTKHLTCARE,TTK Healthcare Limited,"208,627.30"
929,MTNL,Mahanagar Telephone Nigam Limited,"206,640.00"
930,RPTECH,Rashi Peripherals Limited,"206,101.20"
931,RPSGVENT,RPSG VENTURES LIMITED,"206,012.53"
932,ORIENTHOT,Oriental Hotels Limited,"205,924.85"
933,GTLINFRA,GTL Infrastructure Limited,"204,912.34"
934,WEBELSOLAR,Websol Energy System Limited,"204,827.40"
935,JASH,Jash Engineering Limited,"203,847.64"
936,UGROCAP,Ugro Capital Limited,"203,758.42"
937,SDBL,Som Distilleries & Breweries Limited,"203,658.90"
938,HPL,HPL Electric & Power Limited,"203,511.04"
939,TCPLPACK,TCPL Packaging Limited,"203,280.35"
940,ADFFOODS,ADF Foods Limited,"203,192.72"
941,HMT,HMT Limited,"202,483.85"
942,MOL,Meghmani Organics Limited,"201,671.17"
943,MUFIN,Mufin Green Finance Limited,"201,352.06"
944,THEMISMED,Themis Medicare Limited,"201,199.70"
945,PANAMAPET,Panama Petrochem Limited,"201,141.21"
946,MANGLMCEM,Mangalam Cement Limited,"201,005.25"
947,SIGNPOST,Signpost India Limited,"200,918.55"
948,HITECH,Hi-Tech Pipes Limited,"200,661.44"
949,MAYURUNIQ,Mayur Uniquoters Ltd,"200,292.00"
950,SIYSIL,Siyaram Silk Mills Limited,"199,129.32"
951,JINDALPOLY,Jindal Poly Films Limited,"198,593.28"
952,KRSNAA,Krsnaa Diagnostics Limited,"198,452.88"
953,DEEPINDS,Deep Industries Limited,"197,440.00"
954,PNBGILTS,PNB Gilts Limited,"197,291.11"
955,HIL,HIL Limited,"196,421.57"
956,RICOAUTO,Rico Auto Industries Limited,"196,298.54"
957,BFINVEST,BF Investment Limited,"196,022.34"
958,GANDHAR,Gandhar Oil Refinery (India) Limited,"195,837.51"
959,IFGLEXPOR,IFGL Refractories Limited,"195,819.60"
960,BARBEQUE,Barbeque Nation Hospitality Limited,"194,513.85"
961,ANDHRAPAP,ANDHRA PAPER LIMITED,"193,182.96"
962,IRMENERGY,IRM Energy Limited,"192,693.06"
963,RIIL,Reliance Industrial Infrastructure Limited,"192,592.95"
964,SHRIRAMPPS,Shriram Properties Limited,"192,553.57"
965,GLOBUSSPR,Globus Spirits Limited,"191,812.40"
966,DREDGECORP,Dredging Corporation of India Limited,"190,288.00"
967,RUPA,Rupa & Company Limited,"189,864.89"
968,SJS,S J S  Enterprises Limited,"189,532.96"
969,PARACABLES,Paramount Communications Limited,"188,618.28"
970,EXPLEOSOL,Expleo Solutions Limited,"188,324.27"
971,PRECAM,Precision Camshafts Limited,"187,644.52"
972,BHARATWIRE,Bharat Wire Ropes Limited,"187,251.51"
973,GTPL,GTPL Hathway Limited,"187,250.96"
974,VPRPL,Vishnu Prakash R Punglia Limited,"186,779.03"
975,ADORWELD,Ador Welding Limited,"186,434.98"
976,DPABHUSHAN,D  P  Abhushan Limited,"186,117.31"
977,FOSECOIND,Foseco India Limited,"185,980.07"
978,SCILAL,Shipping Corporation of India Land and Assets Limited,"185,853.80"
979,SESHAPAPER,Seshasayee Paper and Boards Limited,"185,578.00"
980,JINDRILL,Jindal Drilling And Industries Limited,"184,696.58"
981,YASHO,Yasho Industries Limited,"184,558.75"
982,GREENPOWER,Orient Green Power Company Limited,"183,395.38"
983,NITINSPIN,Nitin Spinners Limited,"182,630.67"
984,GOLDIAM,Goldiam International Limited,"182,512.86"
985,PIXTRANS,Pix Transmissions Limited,"181,801.04"
986,SIGACHI,Sigachi Industries Limited,"180,176.63"
987,ARMANFIN,Arman Financial Services Limited,"179,568.44"
988,MONARCH,Monarch Networth Capital Limited,"179,389.90"
989,AMRUTANJAN,Amrutanjan Health Care Limited,"179,376.00"
990,FMGOETZE,Federal-Mogul Goetze (India) Limited ,"179,191.09"
991,PENIND,Pennar Industries Limited,"179,073.65"
992,GEPIL,GE Power India Limited,"178,522.55"
993,PVSL,Popular Vehicles and Services Limited,"177,639.50"
994,JUBLINDS,Jubilant Industries Limited,"176,744.63"
995,63MOONS,63 moons technologies limited,"175,835.70"
996,CANTABIL,Cantabil Retail India Limited,"174,636.23"
997,RAMCOIND,Ramco Industries Limited,"174,486.21"
998,JYOTISTRUC,Jyoti Structures Limited,"173,961.65"
999,VSSL,Vardhman Special Steels Limited,"172,776.30"
1000,HERCULES,Hercules Hoists Limited,"172,464.00"
1001,NSIL,Nalwa Sons Investments Limited,"171,781.54"
1002,HLVLTD,HLV LIMITED,"171,737.20"
1003,SURYODAY,Suryoday Small Finance Bank Limited,"170,819.00"
1004,TNPL,Tamil Nadu Newsprint & Papers Limited,"170,707.94"
1005,SUBEXLTD,Subex Limited,"168,881.88"
1006,RISHABH,Rishabh Instruments Limited,"168,798.30"
1007,SERVOTECH,Servotech Power Systems Limited,"168,317.73"
1008,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,"167,361.79"
1009,ATFL,Agro Tech Foods Limited,"166,198.38"
1010,OMAXE,Omaxe Limited,"165,616.44"
1011,EVERESTIND,Everest Industries Limited,"164,449.81"
1012,PREMEXPLN,Premier Explosives Limited,"163,616.82"
1013,GNA,GNA Axles Limited,"163,351.69"
1014,GOKULAGRO,Gokul Agro Resources Limited,"161,043.58"
1015,TALBROAUTO,Talbros Automotive Components Limited,"160,801.83"
1016,DCMSRIND,DCM Shriram Industries Limited,"159,369.68"
1017,NELCO,NELCO Limited,"158,393.92"
1018,KICL,Kalyani Investment Company Limited,"158,272.90"
1019,MOTISONS,Motisons Jewellers Limited,"157,562.82"
1020,5PAISA,5Paisa Capital Limited,"157,484.55"
1021,KIRIINDUS,Kiri Industries Limited,"157,109.49"
1022,CAPITALSFB,Capital Small Finance Bank Limited,"157,108.31"
1023,INDRAMEDCO,Indraprastha Medical Corporation Limited,"157,081.69"
1024,AEROFLEX,Aeroflex Industries Limited,"156,994.93"
1025,SIRCA,Sirca Paints India Limited,"156,013.25"
1026,SHANKARA,Shankara Building Products Limited,"155,474.55"
1027,FAIRCHEMOR,Fairchem Organics Limited,"154,974.78"
1028,BLKASHYAP,B  L  Kashyap and Sons Limited,"154,651.84"
1029,TFCILTD,Tourism Finance Corporation of India Limited,"154,536.89"
1030,SADHNANIQ,Sadhana Nitrochem Limited,"154,164.48"
1031,INDNIPPON,India Nippon Electricals Limited,"153,972.72"
1032,GVKPIL,GVK Power & Infrastructure Limited,"153,915.50"
1033,RANEHOLDIN,Rane Holdings Limited,"153,871.95"
1034,GEOJITFSL,Geojit Financial Services Limited,"153,530.76"
1035,DCW,DCW Limited,"151,709.68"
1036,SBGLP,Suratwwala Business Group Limited,"151,583.31"
1037,BCLIND,Bcl Industries Limited,"151,149.90"
1038,SMSPHARMA,SMS Pharmaceuticals Limited,"150,892.24"
1039,DPSCLTD,DPSC Limited,"149,963.60"
1040,CAMLINFINE,Camlin Fine Sciences Limited,"149,453.42"
1041,CONTROLPR,Control Print Limited,"148,722.18"
1042,REFEX,Refex Industries Limited,"148,534.43"
1043,KRISHANA,Krishana Phoschem Limited,"147,778.62"
1044,EKC,Everest Kanto Cylinder Limited,"147,384.79"
1045,WHEELS,Wheels India Limited,"146,097.20"
1046,JITFINFRA,JITF Infralogistics Limited,"146,048.46"
1047,V2RETAIL,V2 Retail Limited,"146,036.20"
1048,SALZERELEC,Salzer Electronics Limited,"145,736.87"
1049,UNIVCABLES,Universal Cables Limited,"145,681.68"
1050,SPAL,S  P  Apparels Limited,"145,662.54"
1051,EPACK,EPACK Durable Limited,"144,991.32"
1052,SWELECTES,Swelect Energy Systems Limited,"144,667.63"
1053,GPTHEALTH,GPT Healthcare Limited,"144,662.65"
1054,HITECHGEAR,The Hi-Tech Gears Limited,"144,488.75"
1055,INSECTICID,Insecticides (India) Limited,"143,934.28"
1056,PENINLAND,Peninsula Land Limited,"143,700.42"
1057,SHREDIGCEM,Shree Digvijay Cement Co Ltd,"143,279.39"
1058,SPIC,Southern Petrochemicals Industries Corporation  Limited,"143,159.16"
1059,NIITLTD,NIIT Limited,"142,628.87"
1060,BIGBLOC,Bigbloc Construction Limited,"142,425.20"
1061,ORIANA,Oriana Power Limited,"142,334.89"
1062,SPCENET,Spacenet Enterprises India Limited,"142,053.83"
1063,SHALPAINTS,Shalimar Paints Limited,"139,044.27"
1064,KAMDHENU,Kamdhenu Limited,"139,014.12"
1065,STOVEKRAFT,Stove Kraft Limited,"138,668.65"
1066,RKSWAMY,R K Swamy Limited,"138,408.59"
1067,NAVKARCORP,Navkar Corporation Limited,"138,176.61"
1068,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,"136,412.03"
1069,DHAMPURSUG,Dhampur Sugar Mills Limited,"135,875.41"
1070,NDTV,New Delhi Television Limited,"135,744.25"
1071,ARIHANTSUP,Arihant Superstructures Limited,"135,498.69"
1072,VASCONEQ,Vascon Engineers Limited,"135,446.07"
1073,KUANTUM,Kuantum Papers Limited,"134,822.31"
1074,APTECHT,Aptech Limited,"134,381.05"
1075,INDIANHUME,Indian Hume Pipe Company Limited,"134,180.47"
1076,ROSSELLIND,Rossell India Limited,"133,803.64"
1077,AHL,Abans Holdings Limited,"133,538.66"
1078,SOLARA,Solara Active Pharma Sciences Limited,"133,528.15"
1079,SUMMITSEC,Summit Securities Limited,"133,219.76"
1080,ALICON,Alicon Castalloy Limited,"132,737.39"
1081,KSOLVES,Ksolves India Limited,"132,662.71"
1082,IGPL,IG Petrochemicals Limited,"132,648.82"
1083,STEELCAS,Steelcast Limited,"132,349.36"
1084,POKARNA,Pokarna Limited,"132,092.54"
1085,ATL,Allcargo Terminals Limited,"132,061.34"
1086,ATULAUTO,Atul Auto Limited,"132,012.84"
1087,GANESHBE,Ganesh Benzoplast Limited,"131,956.61"
1088,COSMOFIRST,COSMO FIRST LIMITED,"131,445.51"
1089,AWHCL,Antony Waste Handling Cell Limited,"131,040.16"
1090,DWARKESH,Dwarikesh Sugar Industries Limited,"130,869.52"
1091,HARIOMPIPE,Hariom Pipe Industries Limited,"130,816.75"
1092,SMCGLOBAL,SMC Global Securities Limited,"130,717.95"
1093,MADRASFERT,Madras Fertilizers Limited,"130,492.05"
1094,DSSL,Dynacons Systems & Solutions Limited,"130,459.48"
1095,STEELXIND,STEEL EXCHANGE INDIA LIMITED,"130,246.02"
1096,MONTECARLO,Monte Carlo Fashions Limited,"129,876.01"
1097,E2E,E2E Networks Limited,"129,769.50"
1098,VERTOZ,Vertoz Advertising Limited,"129,707.46"
1099,GIRIRAJ,Giriraj Civil Developers Limited,"129,374.02"
1100,NGLFINE,NGL Fine-Chem Limited,"129,367.82"
1101,IGARASHI,Igarashi Motors India Limited,"129,142.12"
1102,JAYBARMARU,Jay Bharat Maruti Limited,"127,951.50"
1103,AVTNPL,AVT Natural Products Limited,"127,918.56"
1104,SKYGOLD,Sky Gold Limited,"126,842.00"
1105,TVTODAY,TV Today Network Limited,"126,288.62"
1106,XCHANGING,Xchanging Solutions Limited,"125,886.20"
1107,ANDHRSUGAR,The Andhra Sugars Limited,"125,709.07"
1108,ACLGATI,Allcargo Gati Limited,"125,107.07"
1109,KOPRAN,Kopran Limited,"124,677.79"
1110,ENIL,Entertainment Network (India) Limited,"124,014.58"
1111,VERANDA,Veranda Learning Solutions Limited,"123,621.42"
1112,MVGJL,Manoj Vaibhav Gems N Jewellers Limited,"122,924.59"
1113,OMINFRAL,OM INFRA LIMITED,"122,739.20"
1114,ZOTA,Zota Health Care LImited,"122,645.57"
1115,SNOWMAN,Snowman Logistics Limited,"122,475.50"
1116,RAJRILTD,Raj Rayon Industries Limited,"122,060.11"
1117,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,"121,751.23"
1118,KITEX,Kitex Garments Limited,"120,996.75"
1119,TEXINFRA,Texmaco Infrastructure & Holdings Limited,"120,927.83"
1120,IMPAL,India Motor Parts and Accessories Limited,"120,906.24"
1121,HIMATSEIDE,Himatsingka Seide Limited,"120,314.65"
1122,DOLATALGO,Dolat Algotech Limited,"120,120.00"
1123,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,"120,115.10"
1124,AGARIND,Agarwal Industrial Corporation Limited,"119,722.14"
1125,REPRO,Repro India Limited,"119,289.42"
1126,DOLPHIN,Dolphin Offshore Enterprises (India) Limited,"119,073.63"
1127,UTTAMSUGAR,Uttam Sugar Mills Limited,"119,010.00"
1128,CENTRUM,Centrum Capital Limited,"118,777.35"
1129,HESTERBIO,Hester Biosciences Limited,"118,623.98"
1130,BETA,Beta Drugs Limited,"118,610.13"
1131,MARINE,Marine Electricals (India) Limited,"118,311.06"
1132,BLISSGVS,Bliss GVS Pharma Limited,"118,143.59"
1133,MSPL,MSP Steel & Power Limited,"117,936.99"
1134,LINCOLN,Lincoln Pharmaceuticals Limited,"117,384.22"
1135,SAURASHCEM,Saurashtra Cement Limited,"117,359.78"
1136,MATRIMONY,Matrimony Com Limited,"117,056.63"
1137,HARDWYN,Hardwyn India Limited,"116,003.09"
1138,GMBREW,GM Breweries Limited,"115,879.60"
1139,SURAJEST,Suraj Estate Developers Limited,"115,693.78"
1140,SICALLOG,Sical Logistics Limited,"115,164.63"
1141,TREL,Transindia Real Estate Limited,"113,634.18"
1142,PAKKA,PAKKA LIMITED,"113,626.66"
1143,HERANBA,Heranba Industries Limited,"113,498.20"
1144,RAMRAT,Ram Ratna Wires Limited,"112,838.00"
1145,DVL,Dhunseri Ventures Limited,"112,604.58"
1146,NACLIND,NACL Industries Limited,"112,032.66"
1147,RML,Rane (Madras) Limited,"111,888.77"
1148,NELCAST,Nelcast Limited,"111,796.54"
1149,KOKUYOCMLN,Kokuyo Camlin Limited,"111,337.22"
1150,ALLSEC,Allsec Technologies Limited,"111,331.21"
1151,MACPOWER,Macpower CNC Machines Limited,"110,716.04"
1152,INNOVANA,Innovana Thinklabs Limited,"110,700.00"
1153,ROTO,Roto Pumps Limited,"110,696.12"
1154,STERTOOLS,Sterling Tools Limited,"110,432.22"
1155,MUKKA,Mukka Proteins Limited,"109,500.00"
1156,TIL,TIL Limited,"108,861.06"
1157,CSLFINANCE,CSL Finance Limited,"108,695.88"
1158,GICHSGFIN,GIC Housing Finance Limited,"108,456.05"
1159,SATIA,Satia Industries Limited,"108,300.00"
1160,MUFTI,Credo Brands Marketing Limited,"107,651.40"
1161,CREST,Crest Ventures Limited,"106,616.38"
1162,AVADHSUGAR,Avadh Sugar & Energy Limited,"106,307.82"
1163,WINDLAS,Windlas Biotech Limited,"106,135.13"
1164,KRYSTAL,Krystal Integrated Services Limited,"105,970.27"
1165,YUKEN,Yuken India Limited,"105,943.50"
1166,ASIANENE,Asian Energy Services Limited,"105,818.34"
1167,SPORTKING,Sportking India Limited,"105,805.97"
1168,KOTYARK,Kotyark Industries Limited,"105,781.11"
1169,CLSEL,Chaman Lal Setia Exports Limited,"105,303.64"
1170,KAMOPAINTS,Kamdhenu Ventures Limited,"105,120.31"
1171,HUBTOWN,Hubtown Limited,"105,115.67"
1172,VALIANTORG,Valiant Organics Limited,"105,005.79"
1173,INDOTECH,Indo Tech Transformers Limited,"104,968.08"
1174,COFFEEDAY,Coffee Day Enterprises Limited,"104,886.48"
1175,SYNCOMF,Syncom Formulations (India) Limited,"104,810.00"
1176,NDRAUTO,Ndr Auto Components Limited,"104,809.94"
1177,DHANBANK,Dhanlaxmi Bank Limited,"104,367.48"
1178,ONEPOINT,One Point One Solutions Limited,"103,875.52"
1179,HIRECT,Hind Rectifiers Limited,"103,469.83"
1180,KABRAEXTRU,Kabra Extrusion Technik Limited,"102,837.62"
1181,REMUS,Remus Pharmaceuticals Limited,"101,627.43"
1182,INDORAMA,Indo Rama Synthetics (India) Limited,"101,442.46"
1183,GULPOLY,Gulshan Polyols Limited,"101,133.91"
1184,HEUBACHIND,Heubach Colorants India Limited,"100,728.97"
1185,OAL,Oriental Aromatics Limited,"100,304.48"
1186,CREATIVE,Creative Newtech Limited,"100,140.71"
1187,ONWARDTEC,Onward Technologies Limited,"99,671.12"
1188,URJA,Urja Global Limited,"99,310.69"
1189,PVP,PVP Ventures Limited,"99,213.80"
1190,ROHLTD,Royal Orchid Hotels Limited,"99,059.88"
1191,BLAL,BEML Land Assets Limited,"98,530.89"
1192,SATINDLTD,Sat Industries Limited,"98,497.04"
1193,VIMTALABS,Vimta Labs Limited,"98,404.13"
1194,ZUARIIND,ZUARI INDUSTRIES LIMITED,"97,801.41"
1195,GSLSU,Global Surfaces Limited,"97,796.05"
1196,NAHARSPING,Nahar Spinning Mills Limited,"96,853.37"
1197,MANALIPETC,Manali Petrochemicals Limited,"96,663.57"
1198,SASTASUNDR,Sastasundar Ventures Limited,"96,640.30"
1199,DLINKINDIA,D-Link (India) Limited,"96,431.17"
1200,RGL,Renaissance Global Limited,"95,987.23"
1201,FOCUS,Focus Lighting and Fixtures Limited,"95,344.61"
1202,GANDHITUBE,Gandhi Special Tubes Limited,"94,654.70"
1203,KELLTONTEC,Kellton Tech Solutions Limited,"94,429.02"
1204,PLATIND,Platinum Industries Limited,"94,141.23"
1205,KERNEX,Kernex Microsystems (India) Limited,"93,852.76"
1206,RAMCOSYS,Ramco Systems Limited,"93,730.16"
1207,WALCHANNAG,Walchandnagar Industries Limited,"93,084.94"
1208,CHEMFAB,Chemfab Alkalis Limited,"92,785.90"
1209,UNIENTER,Uniphos Enterprises Limited,"92,774.16"
1210,SARVESHWAR,Sarveshwar Foods Limited,"92,498.11"
1211,BODALCHEM,Bodal Chemicals Limited,"92,392.44"
1212,SEMAC,SEMAC CONSULTANTS LIMITED,"92,075.76"
1213,VISAKAIND,Visaka Industries Limited,"91,934.66"
1214,LIKHITHA,Likhitha Infrastructure Limited,"91,681.80"
1215,WEL,Wonder Electricals Limited,"91,426.96"
1216,ASAL,Automotive Stampings and Assemblies Limited,"91,053.71"
1217,AMNPLST,Amines & Plasticizers Limited,"91,003.08"
1218,GPTINFRA,GPT Infraprojects Limited,"90,922.84"
1219,NINSYS,NINtec Systems Limited,"90,873.79"
1220,SHIVALIK,Shivalik Rasayan Limited,"89,923.35"
1221,VHL,Vardhman Holdings Limited,"89,549.38"
1222,OWAIS,Owais Metal And Mineral Processing Limited,"89,366.49"
1223,TRACXN,Tracxn Technologies Limited,"88,993.58"
1224,EXCELINDUS,Excel Industries Limited,"88,950.22"
1225,INFOBEAN,InfoBeans Technologies Limited,"88,944.40"
1226,SANDESH,The Sandesh Limited,"88,796.88"
1227,EIMCOELECO,Eimco Elecon (India) Limited,"88,149.58"
1228,CENTENKA,Century Enka Limited,"87,872.14"
1229,HPAL,HP Adhesives Limited,"87,694.43"
1230,MICEL,MIC Electronics Limited,"87,471.31"
1231,FAZE3Q,Faze Three Limited,"87,341.69"
1232,ORIENTPPR,Orient Paper & Industries Limited,"87,314.47"
1233,MAXIND,Max India Limited,"87,248.12"
1234,GRPLTD,GRP Limited,"86,864.64"
1235,DENORA,De Nora India Limited,"86,259.99"
1236,ASALCBR,Associated Alcohols & Breweries Ltd ,"85,351.90"
1237,GKWLIMITED,GKW Limited,"84,831.70"
1238,VLSFINANCE,VLS Finance Limited,"84,780.93"
1239,SPECIALITY,Speciality Restaurants Limited,"84,724.02"
1240,CHEMCON,Chemcon Speciality Chemicals Limited,"84,616.92"
1241,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,"84,502.41"
1242,PPL,Prakash Pipes Limited,"84,455.71"
1243,NCLIND,NCL Industries Limited,"83,590.20"
1244,HEXATRADEX,Hexa Tradex Limited,"83,309.01"
1245,DECCANCE,Deccan Cements Limited,"82,784.33"
1246,SUTLEJTEX,Sutlej Textiles and Industries Limited,"82,569.62"
1247,SPENCERS,Spencer's Retail Limited,"82,296.71"
1248,BASILIC,Basilic Fly Studio Limited,"82,234.74"
1249,SILVERTUC,Silver Touch Technologies Limited,"81,957.30"
1250,SCHAND,S Chand And Company Limited,"81,915.62"
1251,AGSTRA,AGS Transact Technologies Limited,"81,825.67"
1252,DYCL,Dynamic Cables Limited,"81,726.98"
1253,ALPEXSOLAR,Alpex Solar Limited,"81,325.11"
1254,RADIANTCMS,Radiant Cash Management Services Limited,"81,258.07"
1255,AMBIKCO,Ambika Cotton Mills Limited,"80,968.68"
1256,BAJAJHCARE,Bajaj Healthcare Limited,"80,670.12"
1257,RSWM,RSWM Limited,"80,567.43"
1258,SAKAR,Sakar Healthcare Limited,"80,104.92"
1259,MUNJALAU,Munjal Auto Industries Limited,"79,500.00"
1260,HMVL,Hindustan Media Ventures Limited,"79,123.24"
1261,ELDEHSG,Eldeco Housing And Industries Limited,"78,988.49"
1262,INDOAMIN,Indo Amines Limited,"78,827.78"
1263,DENTALKART,Vasa Denticity Limited,"78,527.47"
1264,VIKASLIFE,Vikas Lifecare Limited,"78,335.68"
1265,RUSHIL,Rushil Decor Limited,"77,329.19"
1266,ADSL,Allied Digital Services Limited,"76,942.79"
1267,BCONCEPTS,Brand Concepts Limited,"76,716.02"
1268,DBOL,Dhampur Bio Organics Limited,"76,511.70"
1269,LINC,Linc Limited,"76,473.32"
1270,RADHIKAJWE,Radhika Jeweltech Limited,"76,287.00"
1271,DHARMAJ,Dharmaj Crop Guard Limited,"75,672.15"
1272,MAGADSUGAR,Magadh Sugar & Energy Limited,"75,650.92"
1273,CHEVIOT,Cheviot Company Limited,"75,520.81"
1274,VINYAS,Vinyas Innovative Technologies Limited,"75,508.36"
1275,BALAJITELE,Balaji Telefilms Limited,"74,979.14"
1276,OSWALGREEN,Oswal Greentech Limited,"74,731.47"
1277,ICEMAKE,Ice Make Refrigeration Limited,"74,669.71"
1278,GFLLIMITED,GFL Limited,"74,478.30"
1279,PANACEABIO,Panacea Biotec Limited,"74,450.28"
1280,STCINDIA,The State Trading Corporation of India Limited,"74,430.00"
1281,TRU,TruCap Finance Limited,"74,289.55"
1282,UGARSUGAR,The Ugar Sugar Works Limited,"74,025.00"
1283,MAANALU,Maan Aluminium Limited,"73,988.09"
1284,NRAIL,N R Agarwal Industries Limited,"73,556.55"
1285,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,"72,850.34"
1286,GHCLTEXTIL,GHCL Textiles Limited,"72,454.03"
1287,ASIANTILES,Asian Granito India Limited,"72,434.95"
1288,DAVANGERE,Davangere Sugar Company Limited,"72,303.91"
1289,POCL,Pondy Oxides & Chemicals Limited,"72,166.63"
1290,KOTHARIPET,Kothari Petrochemicals Limited,"71,939.72"
1291,CONSOFINVT,Consolidated Finvest & Holdings Limited,"71,845.35"
1292,ACL,Andhra Cements Limited,"71,663.84"
1293,ZUARI,Zuari Agro Chemicals Limited,"71,246.26"
1294,GRMOVER,GRM Overseas Limited,"71,190.00"
1295,BEDMUTHA,Bedmutha Industries Limited,"71,125.73"
1296,SUKHJITS,Sukhjit Starch & Chemicals Limited,"70,970.75"
1297,ESTER,Ester Industries Limited,"70,843.00"
1298,WSI,W S Industries (I) Limited,"70,517.38"
1299,TNPETRO,Tamilnadu PetroProducts Limited,"70,177.75"
1300,FOODSIN,Foods & Inns Limited,"70,000.44"
1301,THEINVEST,The Investment Trust Of India Limited,"69,769.48"
1302,DHUNINV,Dhunseri Investments Limited,"69,687.70"
1303,TBZ,Tribhovandas Bhimji Zaveri Limited,"69,433.21"
1304,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,"69,363.45"
1305,KECL,Kirloskar Electric Company Limited,"69,336.29"
1306,EMAMIPAP,Emami Paper Mills Limited,"69,059.67"
1307,ELECTHERM,Electrotherm (India) Limited,"68,683.77"
1308,LOKESHMACH,Lokesh Machines Limited,"68,558.28"
1309,SELAN,Selan Exploration Technology Limited,"68,438.00"
1310,AVG,AVG Logistics Limited,"68,296.57"
1311,SAHANA,Sahana System Limited,"67,866.24"
1312,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,"67,674.51"
1313,NECLIFE,Nectar Lifesciences Limited,"67,614.68"
1314,BIRLACABLE,Birla Cable Limited,"67,605.00"
1315,GOACARBON,Goa Carbon Limited,"67,530.19"
1316,JGCHEM,J G Chemicals Limited,"67,497.99"
1317,ANNAPURNA,Annapurna Swadisht Limited,"67,193.80"
1318,3IINFOLTD,3i Infotech Limited,"66,707.50"
1319,WEALTH,Wealth First Portfolio Managers Limited,"66,652.35"
1320,PARSVNATH,Parsvnath Developers Limited,"66,582.72"
1321,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,"66,463.28"
1322,KRITI,Kriti Industries (India) Limited,"66,245.50"
1323,ELIN,Elin Electronics Limited,"66,170.91"
1324,DPWIRES,D P Wires Limited,"66,002.51"
1325,MEGASOFT,Megasoft Limited,"65,987.30"
1326,OCCL,Oriental Carbon & Chemicals Limited,"65,714.83"
1327,MUNJALSHOW,Munjal Showa Limited,"65,111.86"
1328,ZEEMEDIA,Zee Media Corporation Limited,"65,044.58"
1329,SOLEX,Solex Energy Limited,"64,800.00"
1330,MMP,MMP Industries Limited,"64,675.05"
1331,CHEMBOND,Chembond Chemicals Ltd,"64,551.78"
1332,JAYAGROGN,Jayant Agro Organics Limited,"64,515.00"
1333,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,"64,327.75"
1334,MANAKSIA,Manaksia Limited,"64,223.37"
1335,SREEL,Sreeleathers Limited,"64,000.45"
1336,ONMOBILE,OnMobile Global Limited,"63,781.68"
1337,SBC,SBC Exports Limited,"63,650.73"
1338,SPMLINFRA,SPML Infra Limited,"63,450.90"
1339,BHAGERIA,Bhageria Industries Limited,"63,262.24"
1340,VALIANTLAB,Valiant Laboratories Limited,"63,024.23"
1341,MENONBE,Menon Bearings Limited,"62,848.86"
1342,KILITCH,Kilitch Drugs (India) Limited,"62,544.14"
1343,PAVNAIND,Pavna Industries Limited,"62,524.05"
1344,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,"62,412.55"
1345,FCSSOFT,FCS Software Solutions Limited,"62,398.69"
1346,MALLCOM,Mallcom (India) Limited,"62,346.96"
1347,NRL,Nupur Recyclers Limited,"62,256.47"
1348,PHANTOMFX,Phantom Digital Effects Limited,"61,805.73"
1349,APEX,Apex Frozen Foods Limited,"61,718.75"
1350,KAMATHOTEL,Kamat Hotels (I) Limited,"61,582.85"
1351,HTMEDIA,HT Media Limited,"61,561.93"
1352,RUBYMILLS,The Ruby Mills Limited,"61,512.88"
