Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024(In lakhs)"
305,KEC,KEC International Limited,"1,784,836.01"
306,SCHNEIDER,Schneider Electric Infrastructure Limited,"1,771,880.45"
307,IDFC,IDFC Limited,"1,771,182.77"
308,BATAINDIA,Bata India Limited,"1,753,372.70"
309,CIEINDIA,CIE Automotive India Limited,"1,751,895.46"
310,KPIL,Kalpataru Projects International Limited,"1,737,930.16"
311,RRKABEL,R R Kabel Limited,"1,736,224.32"
312,SUMICHEM,Sumitomo Chemical India Limited,"1,735,779.30"
313,NATCOPHARM,Natco Pharma Limited,"1,729,861.39"
314,SUVENPHAR,Suven Pharmaceuticals Limited,"1,723,659.32"
315,CROMPTON,Crompton Greaves Consumer Electricals Limited,"1,720,311.17"
316,TRITURBINE,Triveni Turbine Limited,"1,706,045.39"
317,PPLPHARMA,Piramal Pharma Limited,"1,705,280.14"
318,INOXWIND,Inox Wind Limited,"1,700,147.36"
319,ACE,Action Construction Equipment Limited,"1,698,900.42"
320,ATUL,Atul Limited,"1,690,103.95"
321,CGCL,Capri Global Capital Limited,"1,683,702.48"
322,TVSHLTD,TVS Holdings Limited,"1,651,920.94"
323,SHYAMMETL,Shyam Metalics and Energy Limited,"1,650,646.21"
324,NUVAMA,Nuvama Wealth Management Limited,"1,649,150.42"
325,KIMS,Krishna Institute of Medical Sciences Limited,"1,647,972.20"
326,CELLO,Cello World Limited,"1,642,668.20"
327,PNBHOUSING,PNB Housing Finance Limited,"1,635,684.97"
328,REDINGTON,Redington Limited,"1,629,608.80"
329,LAXMIMACH,Lakshmi Machine Works Limited,"1,622,993.41"
330,JYOTHYLAB,Jyothy Labs Limited,"1,615,534.43"
331,CESC,CESC Limited,"1,612,556.43"
332,GODFRYPHLP,Godfrey Phillips India Limited,"1,606,196.18"
333,NSLNISP,NMDC Steel Limited,"1,603,041.40"
334,RITES,RITES Limited,"1,595,123.93"
335,CONCORDBIO,Concord Biotech Limited,"1,591,003.23"
336,INDIAMART,Indiamart Intermesh Limited,"1,586,718.37"
337,AEGISCHEM,Aegis Logistics Limited,"1,567,741.50"
338,OLECTRA,Olectra Greentech Limited,"1,550,135.76"
339,WHIRLPOOL,Whirlpool of India Limited,"1,549,675.97"
340,ANANDRATHI,Anand Rathi Wealth Limited,"1,545,283.69"
341,NAVINFLUOR,Navin Fluorine International Limited,"1,543,327.49"
342,JWL,Jupiter Wagons Limited,"1,542,596.60"
343,APTUS,Aptus Value Housing Finance India Limited,"1,542,423.55"
344,FINCABLES,Finolex Cables Limited,"1,530,922.84"
345,FINPIPE,Finolex Industries Limited,"1,529,165.33"
346,POLYMED,Poly Medicure Limited,"1,525,166.63"
347,VINATIORGA,Vinati Organics Limited,"1,511,512.83"
348,INTELLECT,Intellect Design Arena Limited,"1,500,383.06"
349,JAIBALAJI,Jai Balaji Industries Limited,"1,494,203.53"
350,J&KBANK,The Jammu & Kashmir Bank Limited,"1,477,786.87"
351,KARURVYSYA,Karur Vysya Bank Limited,"1,469,141.23"
352,BLUEDART,Blue Dart Express Limited,"1,467,323.57"
353,MANAPPURAM,Manappuram Finance Limited,"1,465,601.73"
354,AFFLE,Affle (India) Limited,"1,460,557.78"
355,NCC,NCC Limited,"1,458,801.55"
356,RBLBANK,RBL Bank Limited,"1,454,055.02"
357,TTML,Tata Teleservices (Maharashtra) Limited,"1,446,646.52"
358,BASF,BASF India Limited,"1,444,463.45"
359,VGUARD,V-Guard Industries Limited,"1,438,542.10"
360,CAMS,Computer Age Management Services Limited,"1,432,841.35"
361,GESHIP,The Great Eastern Shipping Company Limited,"1,429,456.20"
362,CENTURYPLY,Century Plyboards (India) Limited,"1,422,018.22"
363,CLEAN,Clean Science and Technology Limited,"1,412,426.37"
364,JINDALSAW,Jindal Saw Limited,"1,383,576.06"
365,FSL,Firstsource Solutions Limited,"1,377,602.37"
366,ZENSARTECH,Zensar Technologies Limited,"1,374,691.29"
367,SOBHA,Sobha Limited,"1,374,079.30"
368,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,"1,370,230.86"
369,DATAPATTNS,Data Patterns (India) Limited,"1,355,931.73"
370,CHENNPETRO,Chennai Petroleum Corporation Limited,"1,350,328.58"
371,WELCORP,Welspun Corp Limited,"1,348,631.18"
372,MGL,Mahanagar Gas Limited,"1,347,378.28"
373,KSB,Ksb Limited,"1,342,155.66"
374,WELSPUNLIV,Welspun Living Limited,"1,337,208.47"
375,HSCL,Himadri Speciality Chemical Limited,"1,332,219.69"
376,DCMSHRIRAM,DCM Shriram Limited,"1,332,137.06"
377,ASTRAZEN,AstraZeneca Pharma India Limited,"1,332,112.50"
378,ZEEL,Zee Entertainment Enterprises Limited,"1,330,799.66"
379,BEML,BEML Limited,"1,325,835.95"
380,HFCL,HFCL Limited,"1,320,793.44"
381,RAINBOW,Rainbow Childrens Medicare Limited,"1,317,035.14"
382,ABSLAMC,Aditya Birla Sun Life AMC Limited,"1,310,809.08"
383,HONASA,Honasa Consumer Limited,"1,304,758.49"
384,ASAHIINDIA,Asahi India Glass Limited,"1,303,812.84"
385,PVRINOX,PVR INOX Limited,"1,301,508.09"
386,ARE&M,Amara Raja Energy & Mobility Limited,"1,298,858.25"
387,IIFL,IIFL Finance Limited,"1,297,646.23"
388,BLS,BLS International Services Limited,"1,288,131.43"
389,ALOKINDS,Alok Industries Limited,"1,283,514.64"
390,VTL,Vardhman Textiles Limited,"1,279,020.14"
391,GRINFRA,G R Infraprojects Limited,"1,264,885.63"
392,HBLPOWER,HBL Power Systems Limited,"1,258,465.05"
393,WESTLIFE,WESTLIFE FOODWORLD LIMITED,"1,254,428.48"
394,RKFORGE,Ramkrishna Forgings Limited,"1,249,615.34"
395,KIRLOSENG,Kirloskar Oil Engines Limited,"1,245,822.67"
396,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,"1,237,651.93"
397,FINEORG,Fine Organic Industries Limited,"1,237,084.04"
398,AMBER,Amber Enterprises India Limited,"1,232,415.60"
399,BIKAJI,Bikaji Foods International Limited,"1,227,999.40"
400,SWSOLAR,Sterling and Wilson Renewable Energy Limited,"1,219,488.06"
401,RAYMOND,Raymond Limited,"1,203,852.78"
402,IEX,Indian Energy Exchange Limited,"1,197,989.19"
403,SPARC,Sun Pharma Advanced Research Company Limited,"1,195,131.87"
404,GRAPHITE,Graphite India Limited,"1,179,189.40"
405,SPLPETRO,Supreme Petrochem Limited,"1,174,224.16"
406,RAILTEL,Railtel Corporation Of India Limited,"1,167,413.46"
407,INGERRAND,Ingersoll Rand (India) Limited,"1,161,812.89"
408,ECLERX,eClerx Services Limited,"1,160,577.35"
409,JUNIPER,Juniper Hotels Limited,"1,151,561.09"
410,ERIS,Eris Lifesciences Limited,"1,147,194.50"
411,RHIM,RHI MAGNESITA INDIA LIMITED,"1,141,230.13"
412,ENGINERSIN,Engineers India Limited,"1,135,044.57"
413,MAHSEAMLES,Maharashtra Seamless Limited,"1,133,834.67"
414,HAPPSTMNDS,Happiest Minds Technologies Limited,"1,133,533.69"
415,JKTYRE,JK Tyre & Industries Limited,"1,126,456.44"
416,TEJASNET,Tejas Networks Limited,"1,120,377.87"
417,PNCINFRA,PNC Infratech Limited,"1,119,408.65"
418,NEWGEN,Newgen Software Technologies Limited,"1,114,383.75"
419,INOXINDIA,INOX India Limited,"1,109,719.93"
420,TANLA,Tanla Platforms Limited,"1,102,167.47"
421,BIRLACORPN,Birla Corporation Limited,"1,096,325.13"
422,BBTC,Bombay Burmah Trading Corporation Limited,"1,093,848.96"
423,GMDCLTD,Gujarat Mineral Development Corporation Limited,"1,093,761.00"
424,NUVOCO,Nuvoco Vistas Corporation Limited,"1,093,612.14"
425,AKZOINDIA,Akzo Nobel India Limited,"1,085,999.87"
426,CEATLTD,CEAT Limited,"1,085,033.27"
427,RPOWER,Reliance Power Limited,"1,076,659.19"
428,RELINFRA,Reliance Infrastructure Limited,"1,073,317.47"
429,GPIL,Godawari Power And Ispat limited,"1,067,376.39"
430,ELECON,Elecon Engineering Company Limited,"1,064,497.17"
431,ANANTRAJ,Anant Raj Limited,"1,061,666.84"
432,ELECTCAST,Electrosteel Castings Limited,"1,059,586.55"
433,DBREALTY,D B Realty Limited,"1,055,949.44"
434,EQUITASBNK,Equitas Small Finance Bank Limited,"1,050,338.18"
435,KFINTECH,Kfin Technologies Limited,"1,048,565.58"
436,BAJAJELEC,Bajaj Electricals Limited,"1,045,577.20"
437,LATENTVIEW,Latent View Analytics Limited,"1,045,477.31"
438,JPPOWER,Jaiprakash Power Ventures Limited,"1,045,152.47"
439,GRANULES,Granules India Limited,"1,042,549.03"
440,AAVAS,Aavas Financiers Limited,"1,041,201.53"
441,AETHER,Aether Industries Limited,"1,035,217.63"
